grid,velocity,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0.010828125,1.0354956359204326,2249.6675643458016,1.4887322198499349,0.0024876813403132553,0.00019926637734604232,0.0001246316519118362,0.0044041770756707115,0.002231283213601546,0.1853181984499568,1.4665318626210291e-06,2.0931040494660985e-07,0.0,1.0100089479705984e-16,3.1774937604951293e-15,1.6168908712418522e-16,1.5574335499479067e-14,1.1399023441258321e-14,0.0065875377533154075,0.0875087918513142,2.7811248786386462e-09,6.676610113850904e-11,1.0556020134969792e-15,2.3167335670633904e-17,8.817029842475688e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447867115977755e-09,8.77895698281938e-10,4.628729160075793e-10,1.7730117125562503e-09,3.913097487288507e-09,6.802890851532682e-05,4.2847318894147416e-08,3.845646518777354e-07,4.898241581847855e-09,6.533571946538946e-13,3.011050374239886e-10,4.0457320621407725e-16,0.0,6.469434895498468e-12,1.3245691856872201e-11,8.221746859706105e-10,2.5047884515347303e-11,0.7110682797341978,1.2337662075316372e-14,0.0,0.0,0.0,0.0
0.010875,1.037540262823375,2254.7913364252545,1.4857984738982883,0.0023352219465240212,0.00017609430143769657,0.00011100347232801292,0.004102878836024549,0.002118873510043769,0.1856822565915638,1.2729078633417725e-06,1.907573895920705e-07,1.6732727386143122e-17,4.716260878186876e-17,1.1361502287232443e-15,5.935932260347877e-17,6.3572642927216446e-15,4.83072754650657e-15,0.006185416471961215,0.08795623442192269,2.2971740614424e-09,5.876136319014061e-11,7.80121349362863e-16,1.7068907652203392e-17,4.446856260946259e-16,0.0,0.0,0.0,0.0,0.0,0.0,8.057401523239487e-17,0.0,0.0,4.236932669084271e-09,7.750608919332003e-10,4.2580151697100653e-10,1.727098555895509e-09,3.468603419536529e-09,7.059698283309541e-05,4.145558810071633e-08,3.583625738763599e-07,4.536473226364081e-09,2.362640435896572e-13,1.1167991022881501e-10,1.3170485190742018e-16,0.0,2.241152541754658e-12,5.704093721524844e-12,5.408022601584185e-10,1.5887385586889813e-11,0.7112595417794592,1.6623581569132073e-14,0.0,0.0,0.0,0.0
0.010921875,1.0390206932345076,2258.514122667229,1.483681477539014,0.002223322865855285,0.0001601442088616884,0.00010163395224413537,0.0038818003904930805,0.002036689774937684,0.18594546142517077,1.1427249640111506e-06,1.7762673426752069e-07,7.458794938185483e-17,5.1091980748175456e-17,7.326406943756204e-16,4.099656969506167e-17,5.4328754449691075e-15,4.5031170273292264e-15,0.005886829872403262,0.08828791472200014,1.982212160510633e-09,5.3208530939946237e-11,6.447790182806171e-16,1.7575492606049408e-17,4.669253976490031e-16,2.102480086918585e-17,6.648285386236322e-15,4.559315151789879e-17,1.09129728083481e-15,2.5306056882492644e-17,4.4454640822336917e-17,7.844281947356637e-16,1.1463634376253712e-15,1.1019272547898416e-15,4.081514962376777e-09,7.07254868590853e-10,4.0539304398679655e-10,1.7187928978572187e-09,3.161437022761637e-09,7.300017383028973e-05,4.0564223470966154e-08,3.389476426541369e-07,4.302330279538796e-09,9.98681771443265e-14,4.717548925678998e-11,5.183512896370414e-17,3.3170242923670062e-18,8.211661537781517e-13,2.918092710222063e-12,4.366837671095877e-10,1.2466668170487667e-11,0.7114014858382801,2.7061155381444973e-14,2.0826242389703976e-17,3.7835566655040175e-17,2.4274534003616645e-18,3.90967453322331e-16
0.01096875,1.04011524116268,2261.27495363457,1.4821201647287696,0.00213940342497313,0.00014876981849055413,9.49646455198119e-05,0.0037165264664514156,0.0019753866842512338,0.18613996393874854,1.0516399247281627e-06,1.6807699987118474e-07,5.802774664966175e-18,6.6248912036022955e-18,1.2837608071555085e-16,6.788006112385544e-18,7.899080289783213e-16,6.555900608170497e-16,0.005661531522259789,0.0885377577838544,1.7672911546839315e-09,4.922396454373941e-11,5.187452203783279e-16,8.37802204983118e-18,8.742877072810517e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.965268483715276e-09,6.606405147598695e-10,3.9288595994232713e-10,1.7239560088972158e-09,2.9417495430962836e-09,7.528267561706536e-05,4.005245042756748e-08,3.243966190264355e-07,4.151202660251769e-09,5.1342849474642395e-14,2.3640200493917568e-11,2.290316010621428e-17,0.0,2.9844274342921155e-13,1.8383157892924945e-12,3.959289176594273e-10,1.1019648976743228e-11,0.711508812788818,2.4693333484788448e-14,0.0,0.0,0.0,0.0
0.0110625,1.0414810965092856,2264.7385155021793,1.4801764534896653,0.00203159998869236,0.00013493744774449183,8.689767408680388e-05,0.003507149258423078,0.0018976798952759309,0.1863824513873374,9.43362548793467e-07,1.562824845349108e-07,1.5221274168110895e-17,6.3489087821822155e-18,5.653545474350619e-17,3.2556545231551177e-18,4.642388719926512e-16,3.8929621499933423e-16,0.005371333239203051,0.0888580659595321,1.5173238724499526e-09,4.4347591214901923e-11,4.207892257327918e-16,7.159279334822774e-18,7.554661109936723e-17,4.559778491327035e-19,1.5394109660921136e-16,9.678378126879135e-19,2.4890280802606965e-17,5.5894676690660785e-19,1.0012103173534865e-18,2.1791666936708932e-17,2.8474825633719554e-17,2.712161337059453e-17,3.819586226015535e-09,6.070785870856586e-10,3.8034089473135744e-10,1.7459442279428406e-09,2.673807187799003e-09,7.957465208680259e-05,3.995260431740635e-08,3.059878646301785e-07,4.019536744408611e-09,2.958692248975217e-14,1.3153455882971617e-11,1.1624845173300099e-17,9.239720350023825e-20,6.70441172595765e-14,1.35052024187644e-12,3.7671885733049063e-10,1.0080712923142772e-11,0.711648849702724,2.4609558731322854e-14,4.678684850168052e-19,8.640940313943646e-19,5.287549378259258e-20,8.960863817358234e-18
0.01115625,1.0423210739569178,2266.874067701822,1.4789836378172412,0.001964749740367866,0.00012674218544236098,8.21172477721198e-05,0.0033764470581434435,0.0018496133533768536,0.18653134054075257,8.80124029927354e-07,1.4914842859483246e-07,8.630893064936684e-18,2.0442159151142357e-18,0.0,0.0,0.0,0.0,0.005189554717208582,0.08905847647666748,1.3752430395426779e-09,4.1443715901656795e-11,3.6456218722504367e-16,5.621761318121083e-18,3.3532064387438664e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.732824912463628e-09,5.777436236622031e-10,3.745526342320928e-10,1.76958699824177e-09,2.5146661801968176e-09,8.367893667411476e-05,4.046037385304889e-08,2.9458972019999404e-07,3.995557772078098e-09,2.432308879889168e-14,1.0749562500591506e-11,8.722078670681457e-18,0.0,1.529637049072902e-14,1.247231595307032e-12,3.7297902573368003e-10,9.714341806079501e-12,0.7117359006446702,2.246942569006663e-14,0.0,0.0,0.0,0.0
0.01125,1.0428493896713014,2268.220852181383,1.4782343862948544,0.0019221651890329032,0.0001216752788743181,7.916136120531496e-05,0.003292928773963442,0.0018190521559887497,0.18662508299556527,8.413963298076002e-07,1.446808816565685e-07,1.4216498512655936e-17,4.4991666173754416e-18,2.524072730413621e-17,1.5604327568770157e-18,2.566998084682601e-16,2.233739002780913e-16,0.005073389579983331,0.0891863616195985,1.2898226125143096e-09,3.964582710510896e-11,3.3605004785132044e-16,5.639171117903343e-18,5.52716633905724e-17,4.363736479611845e-19,1.5492279227130553e-16,8.636798175943293e-19,2.3721057924908982e-17,4.849858011930045e-19,8.83309108519632e-19,1.4560561834817117e-17,2.208155350145931e-17,2.799174863623822e-17,3.6814642912453768e-09,5.615665597812141e-10,3.723724587030615e-10,1.79240613033002e-09,2.4161121532500246e-09,8.766464047491087e-05,4.1355129988170567e-08,2.8736499115804094e-07,4.034076859306813e-09,2.268890166978413e-14,1.010071803002101e-11,7.980615563460304e-18,7.597623915387507e-20,3.731690303423325e-15,1.2294395138836243e-12,3.732342130527268e-10,9.54604223125819e-12,0.711791189026353,2.2982211193843458e-14,4.082158782216286e-19,7.681377289057655e-19,4.540697777959728e-20,8.647340266646735e-18
0.0114375,1.0433455287164322,2269.4939847131177,1.4775314624246099,0.0018808187346409696,0.00011686898808565405,7.635401235382594e-05,0.003211557542136056,0.0017893430885094477,0.18671346777607772,8.049317995083101e-07,1.4039963068984282e-07,1.1421835538332375e-17,2.97654677969687e-18,9.362442312465429e-18,6.193581273545967e-19,9.811607241901344e-17,7.556937259522364e-17,0.004960461752565075,0.08931012025334821,1.2106285400896224e-09,3.793944409685482e-11,3.0709252781624834e-16,4.9521892255645165e-18,4.004253070037592e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.643613465493392e-09,5.514686543061988e-10,3.7421250068328884e-10,1.8346340891968042e-09,2.322481671429686e-09,9.540680789014774e-05,4.392316123254175e-08,2.803918155141865e-07,4.227122834207366e-09,2.1877089498413642e-14,9.870076199897665e-12,7.404237448953235e-18,0.0,4.076673321598083e-16,1.2397908546192833e-12,3.7714558212203187e-10,9.467959773153384e-12,0.7118443167981169,2.1649327765807558e-14,0.0,0.0,0.0,0.0
0.011625,1.0435711325075459,2270.076293930797,1.477212053126267,0.0018615501515869932,0.0001146421293029555,7.503463669865349e-05,0.003171955968756149,0.001775116053629523,0.18675426467199888,7.878833328733123e-07,1.383721535615042e-07,1.2885252294430667e-17,3.612205030031704e-18,1.7601818851019433e-17,1.1075437567109764e-18,1.8662149982704253e-16,1.638419262125218e-16,0.004907464506961941,0.0893680816871829,1.1746287222255704e-09,3.71549440640075e-11,2.9531418737313524e-16,4.889176194421973e-18,4.588666384839499e-17,1.349281614294046e-19,4.9886333199352744e-17,2.260590959636896e-19,6.447552260365346e-18,1.2433931448570718e-19,2.286093997787315e-19,4.334268803361002e-18,6.58281632242165e-18,9.618667015927678e-18,3.638193389984929e-09,5.520098995072942e-10,3.790811833121261e-10,1.8750259385459985e-09,2.279041218174025e-09,0.00010302205701021501,4.6871816338871365e-08,2.770664241690511e-07,4.476692450186332e-09,2.1732170953792166e-14,9.876702919592211e-12,7.294707418196838e-18,2.792174952881932e-20,2.039568315317493e-16,1.2569860462830645e-12,3.822057917954276e-10,9.503564415022415e-12,0.7118676031284291,2.2102559299202287e-14,1.0558921116094697e-19,1.9910190914030445e-19,1.1609868936188344e-20,2.3912856885387824e-18
0.012,1.0436919922617771,2270.395093878423,1.477040999647965,0.0018501918669835019,0.00011327203418368408,7.4170400571126e-05,0.003144124272607141,0.0017655983290527921,0.18677806382906453,7.767586272231236e-07,1.370386758033503e-07,1.2592833455515409e-17,3.446904723841913e-18,1.630121260615988e-17,1.0287800685277687e-18,1.7358563863678177e-16,1.5223519485453034e-16,0.0048759304774368935,0.08940240211615054,1.153077017922249e-09,3.669448497464825e-11,2.8793567415709265e-16,4.752820453275681e-18,4.417135910706407e-17,6.781579869253513e-20,2.5390373017730942e-17,1.0213457597834989e-19,2.9507418529460485e-18,5.516786478111141e-20,1.0190766348617714e-19,2.2396688909191038e-18,3.4205726100559448e-18,5.020613880470374e-18,3.6676157318225663e-09,5.660476067326533e-10,3.9262471158527627e-10,1.9534358187604767e-09,2.2522408629671657e-09,0.00011803719245082837,5.3284671580156776e-08,2.7487149468218196e-07,5.051110039188064e-09,2.2093183888351047e-14,1.009587003549565e-11,7.356476450995545e-18,1.8697908966971827e-20,1.532291117216031e-16,1.2949433315571668e-12,3.936825664930115e-10,9.713391975469165e-12,0.7118769520403512,2.2437308165193184e-14,4.665227619500619e-20,8.880751655143053e-20,5.167735397986264e-21,1.1053866081823798e-18
