phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.8386773547094188,2063.2418546622985,0.00013633917987603662,9.134129876544265e-06,5.807205437516528e-05,0.029410682493420808,0.001205923227139061,0.16118247198045524,1.88168652045271e-06,2.001824720673491e-07,2.9030492564649525e-21,4.587929309234075e-22,2.026244183439663e-21,1.0502626960453049e-22,2.2507786237724096e-20,1.7227752723399353e-20,0.0003278097995463391,0.08063593921189623,9.378715198644289e-12,1.8331268318696905e-13,2.3487449417118253e-19,3.296514007879741e-21,2.7731478013177255e-20,1.5739590325015193e-29,1.0214502479446435e-26,3.622613489377038e-32,6.708996105452159e-32,3.4124241931037934e-37,3.6152858359034495e-38,9.744764763646798e-24,2.066915072868674e-23,1.152418676547801e-26,5.912397930723558e-10,1.0171696937156374e-10,5.126578218918671e-11,2.516163961827453e-10,1.6512962707545922e-10,0.003265323864040154,6.042868662875779e-06,5.576993408763534e-07,3.3542283523452615e-08,9.48804618346814e-17,6.086353064812024e-14,6.571076897965778e-21,3.1597907417863134e-24,2.1212372261408756e-18,5.2945494217064356e-14,2.7820882698635788e-11,6.166599780955991e-13,0.7243251497223364,0.0,1.7384086262950132e-54,1.750642928784605e-55,3.956280407185299e-29,1.0918447375350551e-29
0.8450901803607214,2072.956537557607,0.00015025693091547142,1.0203086775164516e-05,6.0933467399360705e-05,0.02816178007512583,0.0012513862017141508,0.16228248263772396,1.8958926719921923e-06,2.032591083700412e-07,4.136717106427374e-21,6.633890055252372e-22,2.903214120379218e-21,1.5200217581943144e-22,3.164644342812598e-20,2.3935898816023532e-20,0.0003637784908994971,0.08116857331045875,1.138597359582094e-11,2.2405052603776607e-13,3.092632376608006e-19,4.3765930127225576e-21,3.6370758028374723e-20,2.6435618073313594e-29,1.641339764786969e-26,6.218502807071093e-32,1.1293395770424063e-31,6.135997194686218e-37,6.455249146447258e-38,1.4386509661590157e-23,3.01191112989877e-23,1.7412428389854828e-26,6.739162518460552e-10,1.1768480589713908e-10,5.944643802277477e-11,2.8669630497090085e-10,1.8540537160736957e-10,0.003275013672114166,5.841233936708923e-06,5.588396823636501e-07,3.545900615902669e-08,1.250591812034341e-16,7.747241322184713e-14,9.055401096076324e-21,4.408885618864323e-24,2.6744235544139026e-18,6.336667125492868e-14,3.2386023172765876e-11,7.327516646962898e-13,0.7238712550167589,0.0,4.0140248583957e-54,4.01220510301694e-55,6.16527264108996e-29,1.6946478672112867e-29
0.8515030060120241,2082.6114763635787,0.0001655545882671442,1.138497710715911e-05,6.381208699129685e-05,0.026919027651013328,0.001297067777956733,0.1633795432820611,1.9065834362597328e-06,2.0609600474441523e-07,5.8767423202633425e-21,9.566934152768436e-22,4.151904933676046e-21,2.195410557480777e-22,4.4452801482777433e-20,3.325177173446764e-20,0.0004035294985746348,0.08169672194577257,1.3806768472991373e-11,2.7366815714008777e-13,4.06742083321048e-19,5.803167323838929e-21,4.767941736130371e-20,4.4287951162718525e-29,2.634197696675896e-26,1.0657283039303144e-31,1.8997409360309466e-31,1.1021505457069817e-36,1.152230800031459e-37,2.120190719925355e-23,4.3848989738650174e-23,2.627048592429214e-26,7.666119963874033e-10,1.3593869943443185e-10,6.886157772059961e-11,3.2662402811069737e-10,2.079289176192903e-10,0.0032806176863161784,5.635699275382735e-06,5.59295710090331e-07,3.74320032960511e-08,1.6453255843395734e-16,9.854669226196494e-14,1.2463061844285143e-20,6.138909288771882e-24,3.3660359824402773e-18,7.576756452686965e-14,3.7681145460671366e-11,8.694385655899495e-13,0.7234199612296077,0.0,9.25693098920932e-54,9.190800054964327e-55,9.594868295468276e-29,2.6285856428700013e-29
0.8579158316633266,2092.204397162341,0.00018237812746315239,1.269073106518764e-05,6.669306822842595e-05,0.02568286593163958,0.0013428274492680462,0.16447357548320327,1.9135069039095217e-06,2.0866803548452044e-07,8.324613796963372e-21,1.3762976866078408e-21,5.9277954788345774e-21,3.1651368498872343e-22,6.239727965442426e-20,4.620061080097798e-20,0.00044747371348380843,0.08221997552444076,1.6724641920647933e-11,3.341102594208309e-13,5.344257308303811e-19,7.686362905501577e-21,6.24887843891541e-20,7.403290424853424e-29,4.2239905160330745e-26,1.8242172446858434e-31,3.1948710218438405e-31,1.9784861007915834e-36,2.057021510217748e-37,3.1198949694243196e-23,6.379681774261171e-23,3.958782009352581e-26,8.703152298521199e-10,1.5677632034216954e-10,7.969193947091439e-11,3.721039955675037e-10,2.329274647884802e-10,0.0032818962923587165,5.426421763893553e-06,5.590281267628429e-07,3.945745180319071e-08,2.1609790275560968e-16,1.2529111321034716e-13,1.713494656495908e-20,8.53151794778052e-24,4.229642415725364e-18,9.051981602964682e-14,4.382447436879705e-11,1.0302071871291255e-12,0.7229713871025066,0.0,2.1335757746340184e-53,2.105801909016284e-54,1.491721545635154e-28,4.076087983088802e-29
0.8643286573146292,2101.7326703992558,0.00020089238462057623,1.413230494468132e-05,6.95595767925839e-05,0.024453783224037306,0.0013885073062656981,0.16556449014369345,1.9164043349311974e-06,2.1094843204564237e-07,1.1760004128411429e-20,1.975481615877969e-21,8.451208821968045e-21,4.55598733777263e-22,8.754730841693075e-20,6.422183589048875e-20,0.0004960741737704514,0.08273787231445719,2.0240212513889464e-11,4.077645856821088e-13,7.016449990728789e-19,1.0171567721720987e-20,8.189669494076606e-20,1.2352620378179932e-28,6.770019871926365e-26,3.1200471228251433e-31,5.3740600601995985e-31,3.551238626435112e-36,3.6749011608826005e-37,4.5853015803787123e-23,9.278842764541285e-23,5.960374782837285e-26,9.860767863445015e-10,1.8053071115248767e-10,9.21452940771586e-11,4.239570223529766e-10,2.6065007854598933e-10,0.00327859687724465,5.213572667104885e-06,5.579954561650335e-07,4.153063732531606e-08,2.833869966319252e-16,1.5924496764381842e-13,2.3538740647928097e-20,1.1836390715538729e-23,5.3068361682343204e-18,1.0806675951700549e-13,5.095480797076651e-11,1.2191227465183248e-12,0.722525657869325,0.0,4.91837706001517e-53,4.8295922501575736e-54,2.3176575296940562e-28,6.32136175139791e-29
0.8707414829659319,2111.193246525128,0.00022128428017254326,1.572278782814674e-05,7.239260420468061e-05,0.023232322562980835,0.0014339299362701842,0.16665218525540665,1.915010591294628e-06,2.12908654266607e-07,1.6570614262527724e-20,2.829730350345403e-21,1.203465090168132e-20,6.54930159964256e-22,1.2281696459715335e-19,8.934410379144512e-20,0.0005498546205160757,0.0832498898658552,2.447487151230778e-11,4.97571500451034e-13,9.206613370870628e-19,1.345106033097014e-20,1.0735763894577131e-19,2.058027111116935e-28,1.0850023889848116e-25,5.334578204889064e-31,9.046077198475056e-31,6.377026974880683e-36,6.573781328241824e-37,6.732624970394105e-23,1.3495476380614527e-22,8.96908286218022e-26,1.1150072199082866e-09,2.0757417671895284e-10,1.0646091908028569e-10,4.831435836827225e-10,2.9136992331808014e-10,0.003270452670849297,4.997339441662535e-06,5.561538487145666e-07,4.36458297556605e-08,3.7111801386542023e-16,2.0238069588372876e-13,3.2317312629895686e-20,1.639685073092712e-23,6.649179923135531e-18,1.289384110790197e-13,5.923562638772455e-11,1.440928105741121e-12,0.7220829058419891,0.0,1.1348906219961498e-52,1.1096765313500164e-53,3.5998646510259284e-28,9.808544353119518e-29
0.8771543086172344,2120.582577606149,0.00024376675226461263,1.7476522479847195e-05,7.51707671867852e-05,0.022019090201951395,0.0014788959925983842,0.16773654314513903,1.9090547506244395e-06,2.1451825005487452e-07,2.329336753649945e-20,4.045984945940955e-21,1.7121999976477106e-20,9.40474421463488e-22,1.7232614455427107e-19,1.2443920739301586e-19,0.000609409869246437,0.08375543466276772,2.957537051738703e-11,6.071640572345797e-13,1.2076263228470675e-18,1.777969131252184e-20,1.4080588973529593e-19,3.425119020499448e-28,1.7395715202824983e-25,9.122423520402162e-31,1.5246321520107667e-30,1.1463212007939084e-35,1.178221594916062e-36,9.879273345842184e-23,1.963537008841199e-22,1.3494005558354972e-25,1.258271651998278e-09,2.3832257350147557e-10,1.2291495819454748e-10,5.507928067163694e-10,3.2538677386226214e-10,0.0032571814917424927,4.777928134772385e-06,5.5345687109728e-07,4.579613960611436e-08,4.854265197331642e-16,2.572342961984496e-13,4.4356442287418736e-20,2.2685376650150487e-23,8.320644951930987e-18,1.5377004009270376e-13,6.886018252707848e-11,1.701161353151921e-12,0.7216432710395889,0.0,2.6235052969649376e-52,2.5566653013623218e-53,5.592101348892459e-28,1.5234317774906921e-28
0.8835671342685372,2129.8965198790925,0.00026858358681974506,1.940924253901916e-05,7.787008991310219e-05,0.020814765896051746,0.0015231813648436741,0.16881742696005358,1.8982609599797402e-06,2.1574470329695012e-07,3.2671324173536233e-20,5.775804392062855e-21,2.4344928934258035e-20,1.3494746197375761e-21,2.419206503088451e-19,1.7359327177352198e-19,0.0006754184603480407,0.08425382945504292,3.571954815084706e-11,7.410483988822459e-13,1.583877733124613e-18,2.3496147820601296e-20,1.8482492906982239e-19,5.696683346914871e-28,2.791516885432338e-25,1.5610915963804776e-30,2.57441585301064e-30,2.0640827068851406e-35,2.1173288096621093e-36,1.4492273195366472e-22,2.859025497245703e-22,2.0305883657479682e-25,1.4170816627992125e-09,2.732400236520051e-10,1.4182687798616466e-10,6.282388582435035e-10,3.6302984106063155e-10,0.0032384844035098673,4.555566278187533e-06,5.498552811139226e-07,4.797335141466732e-08,6.343021343817365e-16,3.270790208283664e-13,6.088016450753061e-20,3.1353002277036055e-23,1.0400683461650368e-17,1.8332532087009636e-13,8.005785462082067e-11,2.006296088647882e-12,0.7212069018355314,0.0,6.081626962439758e-52,5.912640655174752e-53,8.691777238548598e-28,2.3696435880315726e-28
0.8899799599198397,2139.1302127957965,0.00029601539299940765,2.153822864892776e-05,8.046376904682528e-05,0.019620115338355015,0.00156653387865855,0.16989467628260743,1.8823496157581013e-06,2.1655327136625313e-07,4.573242662830954e-20,8.234148958423103e-21,3.460455155858513e-20,1.9354640547797077e-21,3.399307271357026e-19,2.426542621728435e-19,0.0007486582003852657,0.08474429771398702,4.312352384909596e-11,9.048379006150019e-13,2.0777018021096396e-18,3.105197008478723e-20,2.4288248438850523e-19,9.47319242187472e-28,4.486024893695949e-25,2.6749436152968255e-30,4.358031589570387e-30,3.7255698114295846e-35,3.818031993298312e-36,2.126077727644073e-22,4.1678669687425017e-22,3.0575746106868813e-25,1.5926833182991845e-09,3.128440762311511e-10,1.6356729630976482e-10,7.170669963762955e-10,4.046609568864917e-10,0.0032140443045901215,4.330506385948754e-06,5.452967916114146e-07,5.016773001277861e-08,8.28167263887956e-16,4.1615853193196965e-13,8.358585617415115e-20,4.329833108432859e-23,1.2988115264927136e-17,2.185253953303472e-13,9.310213538580163e-11,2.3639095308851848e-12,0.7207739556977356,0.0,1.415222444050716e-51,1.3740566262258809e-52,1.3523792573504132e-27,3.6933821182557483e-28
0.8963927855711422,2148.277927675928,0.00032638705044832876,2.3882486303380597e-05,8.292192213616144e-05,0.0184360053205616,0.0016086694357085414,0.17096810154146133,1.8610389859480657e-06,2.1690681487644665e-07,6.389865198822555e-20,1.1726282297816598e-20,4.919026135403976e-20,2.7756044275266028e-21,4.782863581529708e-19,3.400475054570682e-19,0.000830025390447635,0.0852259444254622,5.205079594663428e-11,1.1055596144820429e-12,2.726746905414112e-18,4.105142291700442e-20,3.196595222703687e-19,1.5758835878584798e-27,7.223852161675814e-25,4.592575545504314e-30,7.401527802265624e-30,6.746047660997666e-35,6.914481078117286e-36,3.1205318332931553e-22,6.086050234837429e-22,4.609049471821835e-25,1.7863401307053131e-09,3.577113210334766e-10,1.8856753577640114e-10,8.191723587349705e-10,4.506781627483728e-10,0.00318352449335181,4.103030212334341e-06,5.397258305538777e-07,5.2367794456701024e-08,1.0806481340867543e-15,5.300025365188651e-13,1.1483702208875015e-19,5.976443285890931e-23,1.6206068203098732e-17,2.6048562462194527e-13,1.0832076167233952e-10,2.78288486532923e-12,0.7203445998811437,0.0,3.309820169379762e-51,3.212799358065074e-52,2.107553453657597e-27,5.7718194724429055e-28
